episode,return,steps,epsilon,end_reason
499,-73.66,182,0.7289,enemy
500,-100.17,1,0.7283,enemy
501,-81.55,236,0.7278,enemy
502,-79.94,600,0.7272,timeout
503,-179.22,392,0.7267,enemy
504,-84.05,180,0.7261,enemy
505,-79.97,600,0.7256,timeout
506,-90.66,223,0.7251,enemy
507,-86.93,600,0.7245,timeout
508,-78.57,288,0.724,enemy
509,-85.75,600,0.7234,timeout
510,-81.98,600,0.7229,timeout
511,-58.4,600,0.7223,timeout
512,-215.28,528,0.7218,enemy
513,-74.68,225,0.7212,enemy
514,-362.06,519,0.7207,enemy
515,-59.27,109,0.7202,enemy
516,-80.09,600,0.7196,timeout
517,-80.43,600,0.7191,timeout
518,-195.35,349,0.7185,enemy
519,-171.83,186,0.718,enemy
520,-73.61,600,0.7174,timeout
521,-85.79,600,0.7169,timeout
522,-193.4,591,0.7163,enemy
523,-230.66,349,0.7158,enemy
524,-266.69,598,0.7153,enemy
525,-355.25,578,0.7147,enemy
526,-136.0,288,0.7142,enemy
527,-294.58,600,0.7136,timeout
528,-63.18,157,0.7131,enemy
529,-162.79,600,0.7125,timeout
530,-423.09,489,0.712,enemy
531,-173.83,403,0.7114,enemy
532,-100.97,488,0.7109,enemy
533,-92.49,463,0.7104,enemy
534,-110.29,588,0.7098,enemy
535,-343.6,600,0.7093,timeout
536,-301.13,298,0.7087,enemy
537,-100.2,1,0.7082,enemy
538,-66.75,123,0.7076,enemy
539,-100.17,1,0.7071,enemy
540,-220.15,299,0.7065,enemy
541,-218.46,519,0.706,enemy
542,-101.66,477,0.7055,enemy
543,-82.11,286,0.7049,enemy
544,-100.17,1,0.7044,enemy
545,-111.59,485,0.7038,enemy
546,-102.9,385,0.7033,enemy
547,-65.37,123,0.7027,enemy
548,-160.23,250,0.7022,enemy
549,-60.96,116,0.7016,enemy
550,-108.63,539,0.7011,enemy
551,-247.05,357,0.7006,enemy
552,-89.02,347,0.7,enemy
553,-105.4,531,0.6995,enemy
554,-79.99,600,0.6989,timeout
555,-184.67,600,0.6984,timeout
556,-281.03,401,0.6978,enemy
557,-265.0,416,0.6973,enemy
558,-112.77,179,0.6967,enemy
559,-102.19,418,0.6962,enemy
